Beam center : 0 0 2 mm
Beam power  : 10 W
Beam waist  : 0.3 mm (radius at the intensity of 1/e^2)
RayleighLength : 1157.94 mm (M^2==1)
Peak intensity : 70.7355 W/mm^2
Time duration : -1.79769e+308 - 1.79769e+308 s
Detuning : 0 [rad/s] (0 [Hz])
Beam center : 0 0 3 mm
Beam center timing : 2e-06 s
Beam energy  : 0.1 J
Beam waist  : 2 mm (radius at the intensity of 1/e^2)
Beam duration : 2e-09 s (FWHM), 8.49322e-10 s (sigma)
RayleighLength : 35398.2 mm (M^2==1)
Peak power : 4.69719e+07 W
Peak intensity at the waist : 7.4758e+06 W/mm^2
0/81946Rho 1 0 0 0 0
Rho 0.57901 0 0 0 0
Rho 0.586227 4.78246e-85 -1.17171e-84 2.11273e-168 -2.41978e-179
Rho 0.618478 0 0 0 0
Rho 0.542484 4.60945e-236 6.88405e-234 0 0
Rho 0.60708 2.28702e-55 9.86297e-55 1.69348e-108 6.49108e-113
Rho 0.396324 -2.34022e-175 -9.29698e-175 0 0
Rho 0.549568 -6.55194e-86 -9.28538e-86 2.35396e-170 -2.99819e-188
Rho 0.719641 0 0 0 0
Rho 0.420921 -1.66774e-99 8.18341e-99 1.65708e-196 2.12328e-221
Rho 1 0 0 0 0
Rho 0.758917 7.78266e-75 4.15058e-73 2.2693e-145 1.41292e-161
Rho 1 0 0 0 0
Rho 0.672277 0 0 0 0
Rho 0.794284 8.79258e-17 4.03595e-16 2.13594e-31 2.28078e-46
Rho 0.560242 8.69789e-70 1.15708e-70 1.36638e-138 1.84822e-153
Rho 0.688846 0 0 0 0
Rho 0.683141 0 0 0 0
Rho 0.55786 1.09682e-134 6.67092e-135 2.95434e-268 2.32208e-309
Rho 1 0 0 0 0
Rho 0.555902 1.34272e-153 -1.83796e-153 9.32145e-306 -3.94199e-313
Rho 1 0 0 0 0
Rho 0.595135 0 0 0 0
Rho 0.542127 -3.03575e-46 -4.30171e-45 1.22826e-95 9.03025e-117
Rho 0.679682 -1.38231e-251 2.18606e-252 0 0
Rho 1 0 0 0 0
Rho 0.594723 0 0 0 0
Rho 1 0 0 0 0
Rho 0.4056 2.38205e-61 5.06414e-62 1.45693e-121 6.47822e-123
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.739433 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.497285 0 0 0 0
Rho 0.46203 0 0 0 0
Rho 0.85385 0 0 0 0
Rho 1 0 0 0 0
Rho 0.499546 0 0 0 0
Rho 0.424574 0 0 0 0
Rho 0.470704 -0.000288256 -4.40314e-05 1.80645e-07 1.2383e-10
Rho 0.861096 3.55533e-88 1.0646e-87 1.44702e-174 -3.98857e-176
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.768794 0 0 0 0
Rho 0.948016 4.43342e-115 1.47329e-114 2.49693e-228 7.15189e-231
Rho 0.403937 5.12584e-09 -3.51297e-09 9.55969e-17 1.66608e-24
Rho 0.429964 4.16253e-113 -6.48336e-113 8.73325e-225 0
Rho 0.42535 1.90553e-99 7.06656e-99 1.25941e-196 7.87387e-213
Rho 0.686092 0 0 0 0
Rho 0.722589 0 0 0 0
Rho 1 0 0 0 0
Rho 0.614737 -7.87426e-171 3.01512e-171 0 0
Rho 1 0 0 0 0
Rho 0.56243 2.54197e-143 9.40704e-139 3.35103e-278 0
Rho 0.614846 0 0 0 0
Rho 0.592801 6.28945e-63 -6.58006e-64 6.93186e-125 1.73765e-158
Rho 0.469153 -1.86921e-50 -1.90968e-50 1.52207e-99 -3.27223e-115
Rho 0.605349 -7.90449e-84 3.78142e-84 1.26836e-166 -9.86636e-174
Rho 0.500214 -5.09555e-187 4.74055e-187 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.77724 0 0 0 0
Rho 1 0 0 0 0
Rho 0.681276 -1.04436e-277 3.87105e-278 0 0
Rho 0.616395 0 0 0 0
Rho 0.599381 0 0 0 0
Rho 0.812377 0 0 0 0
Rho 0.567618 0 0 0 0
Rho 1 0 0 0 0
Rho 0.664843 1.09197e-136 1.79729e-136 6.6485e-272 1.27631e-273
Rho 0.622593 2.88995e-62 -5.11349e-62 5.54127e-123 6.68994e-130
Rho 0.92151 0 0 0 0
Rho 0.515417 0 0 0 0
Rho 0.898056 0 0 0 0
Rho 0.519031 1.72556e-179 1.1688e-177 0 0
Rho 0.436874 0 0 0 0
Rho 0.531927 3.7656e-89 9.44709e-86 3.20186e-171 -1.82684e-226
Rho 1 0 0 0 0
Rho 0.545944 0 0 0 0
Rho 0.625981 0 0 0 0
Rho 0.469429 0 0 0 0
Rho 0.552771 0.000143346 -3.91657e-05 3.99477e-08 1.18547e-11
Rho 1 0 0 0 0
Rho 0.589992 -3.16247e-184 -2.37835e-184 0 0
Rho 1 0 0 0 0
Rho 0.738603 -1.53816e-136 1.10895e-136 4.86824e-272 3.58371e-280
Rho 0.669675 -1.26872e-306 -4.93976e-307 0 0
Rho 0.499928 -4.23382e-231 -7.69934e-230 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.793678 0 0 0 0
Rho 1 0 0 0 0
Rho 0.750979 0 0 0 0
Rho 0.420573 2.09015e-86 1.54385e-86 6.61753e-172 -9.07177e-173
Rho 0.719226 2.85574e-12 8.1479e-14 1.13496e-23 3.46577e-27
Rho 0.72289 0 0 0 0
Rho 0.908678 0 0 0 0
Rho 0.673722 0 0 0 0
